"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Human GeneID","Human Species Gene ID","Human Symbol","Ensmbl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"8","A2AKK5","230161","2140197","Acnat1","Human","641371","33128","ACOT1","ENSG00000184227","6","5.72","moderate","Yes","No","eggNOG, OMA, OrthoFinder, orthoMCL, Phylome, SonicParanoid","","Add","G2F details (ACOT1)    DRscDB Data: (ACOT1)                             Human Protein Atlas  (HPA)"
"9","A2ALW5","72429","1919679","Dnajc25","Human","548645","34187","DNAJC25","ENSG00000059769","16","16.36","high","Yes","Yes","eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (DNAJC25)    DRscDB Data: (DNAJC25)                             Human Protein Atlas  (HPA)"
"10","A2AN08","69116","1916366","Ubr4","Human","23352","30313","UBR4","ENSG00000127481","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (UBR4)    DRscDB Data: (UBR4)                             Human Protein Atlas  (HPA)"
"11","A2AS89","75986","1923236","Agmat","Human","79814","18407","AGMAT","ENSG00000116771","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (AGMAT)    DRscDB Data: (AGMAT)                             Human Protein Atlas  (HPA)"
"12","A2ASZ8","227731","1915913","Slc25a25","Human","114789","20663","SLC25A25","ENSG00000148339","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (SLC25A25)    DRscDB Data: (SLC25A25)                             Human Protein Atlas  (HPA)"
"13","A2AT37","326622","2449307","Upf2","Human","26019","17854","UPF2","ENSG00000151461","15","15.43","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (UPF2)    DRscDB Data: (UPF2)                             Human Protein Atlas  (HPA)"
"14","A2ATU0","209692","2445096","Dhtkd1","Human","55526","23537","DHTKD1","ENSG00000181192","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (DHTKD1)    DRscDB Data: (DHTKD1)                             Human Protein Atlas  (HPA)"
"15","A2AWA9","227800","2385139","Rabgap1","Human","23637","17155","RABGAP1","ENSG00000011454","19","19.22","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (RABGAP1)    DRscDB Data: (RABGAP1)                             Human Protein Atlas  (HPA)"
"16","A2BH40","93760","1935147","Arid1a","Human","8289","11110","ARID1A","ENSG00000117713","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ARID1A)    DRscDB Data: (ARID1A)                             Human Protein Atlas  (HPA)"
"17","A2RSQ0","320560","2444273","Dennd5b","Human","160518","28338","DENND5B","ENSG00000170456","18","18.27","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (DENND5B)    DRscDB Data: (DENND5B)                             Human Protein Atlas  (HPA)"
"18","A3KGB4","245638","1918101","Tbc1d8b","Human","54885","24715","TBC1D8B","ENSG00000133138","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (TBC1D8B)    DRscDB Data: (TBC1D8B)                             Human Protein Atlas  (HPA)"
"19","A3KMP2","239570","2146198","Ttc38","Human","55020","26082","TTC38","ENSG00000075234","17","17.26","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (TTC38)    DRscDB Data: (TTC38)                             Human Protein Atlas  (HPA)"
"20","A6H630","73419","1920669","Armt1","Human","79624","17872","ARMT1","ENSG00000146476","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (ARMT1)    DRscDB Data: (ARMT1)                             Human Protein Atlas  (HPA)"
"21","A6H8H2","329877","1914769","Dennd4c","Human","55667","26079","DENND4C","ENSG00000137145","17","17.34","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (DENND4C)    DRscDB Data: (DENND4C)                             Human Protein Atlas  (HPA)"
"22","A6X935","16427","109536","Itih4","Human","3700","6169","ITIH4","ENSG00000055955","17","17.27","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (ITIH4)    DRscDB Data: (ITIH4)                             Human Protein Atlas  (HPA)"
"23","A7MCT6","214253","2443760","Etnk2","Human","55224","25575","ETNK2","ENSG00000143845","16","16.26","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (ETNK2)    DRscDB Data: (ETNK2)                             Human Protein Atlas  (HPA)"
"24","B1AY13","329908","1919936","Usp24","Human","23358","12623","USP24","ENSG00000162402","19","19.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (USP24)    DRscDB Data: (USP24)                             Human Protein Atlas  (HPA)"
"25","B2RQC6","69719","1916969","Cad","Human","790","1424","CAD","ENSG00000084774","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (CAD)    DRscDB Data: (CAD)                             Human Protein Atlas  (HPA)"
"26","B2RRE7","73945","1098801","Otud4","Human","54726","24949","OTUD4","ENSG00000164164","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (OTUD4)    DRscDB Data: (OTUD4)                             Human Protein Atlas  (HPA)"
"27","B2RX12","76408","1923658","Abcc3","Human","8714","54","ABCC3","ENSG00000108846","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ABCC3)    DRscDB Data: (ABCC3)                             Human Protein Atlas  (HPA)"
"28","B2RXS4","140570","2154239","Plxnb2","Human","23654","9104","PLXNB2","ENSG00000196576","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (PLXNB2)    DRscDB Data: (PLXNB2)                             Human Protein Atlas  (HPA)"
"29","B2RY56","67039","1914289","Rbm25","Human","58517","23244","RBM25","ENSG00000119707","16","16.29","high","Yes","Yes","Compara, eggNOG, HGNC, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (RBM25)    DRscDB Data: (RBM25)                             Human Protein Atlas  (HPA)"
"30","B9EJ86","237542","2443807","Osbpl8","Human","114882","16396","OSBPL8","ENSG00000091039","18","18.27","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (OSBPL8)    DRscDB Data: (OSBPL8)                             Human Protein Atlas  (HPA)"
"31","C0HKD8","100034361","3694697","Mfap1b","Human","4236","7032","MFAP1","ENSG00000140259","15","15.26","moderate","Yes","No","Compara, eggNOG, HGNC, Homologene, TreeFam, orthoMCL, Panther, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Phylome, SonicParanoid","","Add","G2F details (MFAP1)    DRscDB Data: (MFAP1)                             Human Protein Atlas  (HPA)"
"32","C0HKG5","100037283","1915445","Rnaset2a","Human","8635","21686","RNASET2","ENSG00000026297","17","17.26","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, orthoMCL, Panther, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (RNASET2)    DRscDB Data: (RNASET2)                             Human Protein Atlas  (HPA)"
"33","D3YXK2","224903","2146974","Safb","Human","6294","10520","SAFB","ENSG00000160633","19","19.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (SAFB)    DRscDB Data: (SAFB)                             Human Protein Atlas  (HPA)"
"34","D3YZP9","76551","1923801","Ccdc6","Human","8030","18782","CCDC6","ENSG00000108091","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (CCDC6)    DRscDB Data: (CCDC6)                             Human Protein Atlas  (HPA)"
"35","D3Z6P0","69191","1916441","Pdia2","Human","64714","14180","PDIA2","ENSG00000185615","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (PDIA2)    DRscDB Data: (PDIA2)                             Human Protein Atlas  (HPA)"
"36","D3Z6Q9","668218","3611448","Bin2","Human","51411","1053","BIN2","ENSG00000110934","16","16.44","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, OrthoDB, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (BIN2)    DRscDB Data: (BIN2)                             Human Protein Atlas  (HPA)"
"37","E9PV24","14161","1316726","Fga","Human","2243","3661","FGA","ENSG00000171560","15","15.5","high","Yes","Yes","HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (FGA)    DRscDB Data: (FGA)                             Human Protein Atlas  (HPA)"
"38","E9PVA8","231659","2444248","Gcn1","Human","10985","4199","GCN1","ENSG00000089154","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (GCN1)    DRscDB Data: (GCN1)                             Human Protein Atlas  (HPA)"
"39","E9PYK3","328417","2685589","Parp4","Human","143","271","PARP4","ENSG00000102699","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (PARP4)    DRscDB Data: (PARP4)                             Human Protein Atlas  (HPA)"
"40","E9PZJ8","77987","1925237","Ascc3","Human","10973","18697","ASCC3","ENSG00000112249","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (ASCC3)    DRscDB Data: (ASCC3)                             Human Protein Atlas  (HPA)"
"41","E9Q394","75547","2676556","Akap13","Human","11214","371","AKAP13","ENSG00000170776","15","15.41","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, OrthoDB, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (AKAP13)    DRscDB Data: (AKAP13)                             Human Protein Atlas  (HPA)"
"42","E9Q3L2","224020","2448506","Pi4ka","Human","5297","8983","PI4KA","ENSG00000241973","17","17.34","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (PI4KA)    DRscDB Data: (PI4KA)                             Human Protein Atlas  (HPA)"
"43","E9Q414","238055","88052","Apob","Human","338","603","APOB","ENSG00000084674","18","18.21","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (APOB)    DRscDB Data: (APOB)                             Human Protein Atlas  (HPA)"
"44","E9Q4Z2","100705","2140940","Acacb","Human","32","85","ACACB","ENSG00000076555","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ACACB)    DRscDB Data: (ACACB)                             Human Protein Atlas  (HPA)"
"45","E9Q555","672511","1289196","Rnf213","Human","57674","14539","RNF213","ENSG00000173821","17","17.33","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (RNF213)    DRscDB Data: (RNF213)                             Human Protein Atlas  (HPA)"
"46","E9Q557","109620","109611","Dsp","Human","1832","3052","DSP","ENSG00000096696","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (DSP)    DRscDB Data: (DSP)                             Human Protein Atlas  (HPA)"
"47","E9Q5C9","70769","1918019","Nolc1","Human","9221","15608","NOLC1","ENSG00000166197","15","15.33","high","Yes","Yes","Compara, HGNC, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (NOLC1)    DRscDB Data: (NOLC1)                             Human Protein Atlas  (HPA)"
"48","E9Q5K4","226143","1888897","Cyp2c23","Human","1557","2621","CYP2C19","ENSG00000165841","8","7.68","moderate","Yes","No","eggNOG, Isobase, OrthoDB, OMA, OrthoFinder, orthoMCL, Phylome, SonicParanoid","","Add","G2F details (CYP2C19)    DRscDB Data: (CYP2C19)                             Human Protein Atlas  (HPA)"
"49","E9Q634","71602","106621","Myo1e","Human","4643","7599","MYO1E","ENSG00000157483","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (MYO1E)    DRscDB Data: (MYO1E)                             Human Protein Atlas  (HPA)"
"50","E9Q735","140630","2154580","Ube4a","Human","9354","12499","UBE4A","ENSG00000110344","18","18.22","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (UBE4A)    DRscDB Data: (UBE4A)                             Human Protein Atlas  (HPA)"
"51","E9Q7G0","101706","2443665","Numa1","Human","4926","8059","NUMA1","ENSG00000137497","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (NUMA1)    DRscDB Data: (NUMA1)                             Human Protein Atlas  (HPA)"
"52","E9Q816","545817","3616076","Cyp2w1","Human","54905","20243","CYP2W1","ENSG00000073067","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (CYP2W1)    DRscDB Data: (CYP2W1)                             Human Protein Atlas  (HPA)"
"53","E9Q912","229877","2385189","Rap1gds1","Human","5910","9859","RAP1GDS1","ENSG00000138698","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (RAP1GDS1)    DRscDB Data: (RAP1GDS1)                             Human Protein Atlas  (HPA)"
"54","E9QAM5","229003","2385169","Helz2","Human","85441","30021","HELZ2","ENSG00000130589","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (HELZ2)    DRscDB Data: (HELZ2)                             Human Protein Atlas  (HPA)"
"55","E9QAT4","227648","2139207","Sec16a","Human","9919","29006","SEC16A","ENSG00000148396","18","18.22","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (SEC16A)    DRscDB Data: (SEC16A)                             Human Protein Atlas  (HPA)"
"56","F6ZDS4","108989","1922066","Tpr","Human","7175","12017","TPR","ENSG00000047410","18","18.23","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (TPR)    DRscDB Data: (TPR)                             Human Protein Atlas  (HPA)"
"57","F8VPU2","223254","2446173","Farp1","Human","10160","3591","FARP1","ENSG00000152767","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (FARP1)    DRscDB Data: (FARP1)                             Human Protein Atlas  (HPA)"
"58","G3X982","71724","1918974","Aox3","Human","7498","12805","XDH","ENSG00000158125","8","7.73","moderate","Yes","No","eggNOG, OrthoDB, OMA, OrthoFinder, orthoMCL, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (XDH)    DRscDB Data: (XDH)                             Human Protein Atlas  (HPA)"
"58","G3X982","71724","1918974","Aox3","Human","316","553","AOX1","ENSG00000138356","8","7.73","moderate","Yes","No","eggNOG, OrthoDB, OMA, OrthoFinder, orthoMCL, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (AOX1)    DRscDB Data: (AOX1)                             Human Protein Atlas  (HPA)"
"59","G3X9K3","211673","2442988","Arfgef1","Human","10565","15772","ARFGEF1","ENSG00000066777","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ARFGEF1)    DRscDB Data: (ARFGEF1)                             Human Protein Atlas  (HPA)"
"60","G5E829","67972","104653","Atp2b1","Human","490","814","ATP2B1","ENSG00000070961","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ATP2B1)    DRscDB Data: (ATP2B1)                             Human Protein Atlas  (HPA)"
