"","description","enrichmentScore","normalizedEnrichmentScore","pValue","FDR","size","userId","database"
"11","Carbon metabolism",0.563558073312941,2.0062623289754,0,0.00126668794115525,76,"ACAT1;ACAT2;AGXT;ALDOA;ALDOB;CPS1;CS;DLAT;DLD;EHHADH;ENO1;FBP1;GAPDH;GLUD1;GOT1;GOT2;HADHA;IDH1;IDH2;IDH3A;MDH1;ME1;OGDH;PCCA;PCCB;PDHA1;PDHB;PGK1;PKLR;RGN;SDHA;SDHB;SDHC;SDS;SHMT1;SUCLA2;SUCLG1;TPI1","pathway_KEGG"
"12","Bile secretion",0.690922997825059,2.0148654688061,0,0.00129547630345424,21,"ABCB4;ABCC2;ABCC3;ABCG2;AQP9;ATP1A1;ATP1B1;ATP1B3;CYP7A1;EPHX1;GNAS;NCEH1;SLC22A1;SLC27A5;SLC4A4","pathway_KEGG"
"13","peroxisomal transport",0.614400342293637,2.02308460161913,0,0.00142502393379966,40,"ACOT2;ACOT4;ACOX3;AGXT;AMACR;DECR2;DHRS4;ECH1;EHHADH;EPHX2;GSTK1;HACL1;HMGCL;HSD17B4;IDH1;LONP2;NUDT7;PEX1;PEX16;PEX19;PEX3;SCP2;SLC27A2","geneontology_Biological_Process_noRedundant"
"14","antibiotic metabolic process",0.56924372153221,1.98213729905881,0,0.00162859878148533,57,"ACLY;ACSM1;ALDH1A1;ALDH2;AMDHD1;CMAS;CS;CYP1A2;DLAT;FTCD;GNE;HAL;IDH1;IDH2;IDH3A;MDH1;OGDH;PARK7;PCK1;PDHA1;PDHB;PRDX1;PRDX3;PRDX5;SDHA;SDHB;SDHC;SUCLA2;SUCLG1;UGT1A1;UROC1","geneontology_Biological_Process_noRedundant"
"15","Metabolism of xenobiotics by cytochrome P450",0.664704930199168,1.97433755802969,0,0.00190003191173288,22,"CYP1A2;CYP2E1;EPHX1;GSTA3;GSTM2;GSTM3;GSTM4;GSTT1;HSD11B1;MGST1;UGT1A1;UGT2A3","pathway_KEGG"
"16","Chemical carcinogenesis",0.663551864082302,1.97614378812965,0,0.00196336630879064,22,"CYP1A2;CYP2E1;EPHX1;GSTA3;GSTM2;GSTM3;GSTM4;GSTT1;HSD11B1;MGST1;UGT1A1;UGT2A3","pathway_KEGG"
"17","Pyruvate metabolism and Citric Acid (TCA) cycle",0.610301928162153,1.96036125242544,0,0.00234709824390532,32,"ACO2;BSG;CS;DLAT;DLD;IDH2;IDH3A;LDHA;MDH2;ME1;MPC1;MPC2;OGDH;PDHA1;PDHB;PDHX;SDHA;SDHB;SDHC;SLC16A1;SUCLA2;SUCLG1;VDAC1","pathway_Reactome"
"18","Drug metabolism",0.638618540617883,1.94882505196455,0,0.00274449053916972,25,"AOX1;CYP1A2;CYP2E1;FMO1;FMO5;GSTA3;GSTK1;GSTM2;GSTM3;GSTM4;GSTT1;MAOA;MGST1;UGT1A1;UGT2A3","pathway_KEGG"
"19","tricarboxylic acid metabolic process",0.637735846121976,1.94481473850158,0,0.00285004786759932,26,"ACLY;ACO2;ASS1;CS;DLAT;GLUD1;IDH1;IDH2;IDH3A;MDH1;OGDH;PDHA1;PDHB;SDHA;SDHB;SDHC;SUCLA2;SUCLG1","geneontology_Biological_Process_noRedundant"
"20","Gluconeogenesis",0.673139135991639,1.92729874154153,0,0.00336823838898102,19,"ALDOA;ALDOB;ENO1;FBP1;GAPDH;GOT1;GOT2;MDH1;PCK1;PGK1;SLC25A10;SLC25A11;TPI1","pathway_Reactome"
"21","steroid metabolic process",0.520199784519286,1.92286870286375,0,0.00338701340787166,92,"ACAA2;ACACA;ACACB;ACADL;ACAT2;ACBD3;ACLY;ACOX2;AMACR;APOA2;APOB;APOC1;APOE;ATP1A1;COMT;CYP1A2;CYP27A1;CYP2E1;CYP39A1;CYP7A1;CYP8B1;DHCR24;DHCR7;DHRS4;EPHX2;FASN;FDX1;HDLBP;HSD11B1;HSD17B11;HSD17B12;HSD17B2;HSD17B4;HSD17B6;HSD17B7;HSD3B7;LCAT;LIPA;LMF1;PON1;POR;SCARB1;SCP2;SEC14L2;SERPINA6;SGPL1;SLC27A2;SLC27A5;SOD1;SQLE;UGT1A1;YWHAH","geneontology_Biological_Process_noRedundant"
"22","Metabolic disorders of biological oxidation enzymes",0.742512821596141,1.93137788731948,0.00253807106276895,0.00342005744111919,12,"ACY1;CYP27A1;FDX1;GCLC;GSS;MAOA;MAT1A;TPMT;UGT1A1","pathway_Reactome"
"23","Steroid hormone biosynthesis",0.682871228205619,1.9292544784215,0,0.00343815298313569,17,"COMT;CYP1A2;CYP2E1;CYP7A1;HSD11B1;HSD17B12;HSD17B2;HSD17B6;UGT1A1;UGT2A3","pathway_KEGG"
"24","Peroxisomal protein import",0.588855477993122,1.91050011941957,0,0.00410406892934302,37,"ACOT2;ACOT4;ACOX3;AGXT;AMACR;DECR2;DHRS4;ECH1;EHHADH;EPHX2;GSTK1;HACL1;HMGCL;HSD17B4;IDH1;LONP2;NUDT7;PEX1;SCP2;SLC27A2","pathway_Reactome"
"25","pyridine-containing compound metabolic process",0.53715504819251,1.91050579707538,0,0.00427507180139898,72,"ALDOA;ALDOB;AOX1;DERA;DLD;ENO1;ENTPD5;FBP1;FMO1;GAPDH;GPD1;GPD2;HAAO;IDH1;IDH2;KYNU;MDH1;ME1;MPC2;NAMPT;NUDT12;OGDH;PDHA1;PDHB;PDHX;PDXK;PFKFB1;PGK1;PKLR;PRKAG1;TPI1;VCP","geneontology_Biological_Process_noRedundant"
"26","Biological oxidations",0.526905870477102,1.8938682444904,0,0.00518854868203979,73,"AADAC;ACSM1;ACSM5;ACSS2;ACY1;AKR1A1;ALDH1A1;ALDH2;CMBL;COMT;CYB5B;CYP1A2;CYP27A1;CYP2E1;CYP7A1;CYP8B1;EPHX1;FDX1;FMO1;GCLC;GLYAT;GSS;GSTA3;GSTK1;GSTM2;GSTM3;GSTM4;GSTT1;GSTT2;MAOA;MAT1A;MGST1;PAPSS2;POR;TPMT;UGDH;UGT1A1;UGT2A3;UGT3A1;UGT3A2","pathway_Reactome"
"27","organic acid transport",0.538464090679074,1.89076164490647,0,0.00534823797376663,60,"ABCB4;ABCC2;ABCC3;ABCD3;ACACA;ACACB;ACSL1;AGXT;APOE;AQP9;ARG1;BSG;GLS2;GOT2;MPC2;PSAP;SLC16A1;SLC16A10;SLC25A10;SLC25A11;SLC25A15;SLC25A20;SLC25A21;SLC27A2;SLC27A5;SLC38A3;SLCO2B1;STARD5","geneontology_Biological_Process_noRedundant"
"28","response to xenobiotic stimulus",0.532057890523908,1.88566243653287,0,0.00576795401776053,64,"ABCB4;ACSL1;ACSM1;ACY1;ARG1;ASS1;CMBL;CPS1;CRYZ;CSAD;CYP1A2;CYP2E1;EPHX1;EPHX2;FMO1;GCLC;GLYAT;GOT2;GSS;GSTM2;GSTM3;GSTM4;HSPA5;HSPD1;ICAM1;MGST1;PCK1;PON3;POR;TDO2;UGT1A1","geneontology_Biological_Process_noRedundant"
"29","Phase II - Conjugation of compounds",0.544680319007091,1.84662512539713,0,0.010133503529242,42,"ACSM1;ACSM5;AKR1A1;COMT;CYP1A2;GCLC;GLYAT;GSS;GSTA3;GSTK1;GSTM2;GSTM3;GSTM4;GSTT1;GSTT2;MAT1A;MGST1;PAPSS2;TPMT;UGDH;UGT1A1;UGT2A3;UGT3A1;UGT3A2","pathway_Reactome"
"30","small molecule catabolic process",0.481928395611244,1.8467585983158,0,0.0104829346854228,207,"AASS;ABCD3;ABHD16A;ACAA2;ACACB;ACAD11;ACADL;ACAT1;ACAT2;ACOT4;ACOX2;ACOX3;AGXT;AGXT2;AKR1A1;ALDH1A1;ALDH1L1;ALDH2;ALDH4A1;ALDOA;ALDOB;AMACR;AMDHD1;APOE;ARG1;BCKDHB;BDH1;CSAD;CTH;CYP7A1;DECR1;DECR2;DERA;DPYD;ECH1;ECHDC2;ECI1;EHHADH;ENO1;ENTPD5;FAAH;FTCD;GALE;GALK1;GAPDH;GCAT;GK;GLDC;GLS2;GLUD1;GLUL;GOT1;GOT2;GPD2;GUSB;HAAO;HACL1;HADHA;HAL;HIBADH;HMGCL;HOGA1;HPD;HSD17B4;HSD3B7;KYNU;LONP2;MAT1A;MCAT;NUDT7;OAT;OTC;PAH;PCK1;PGK1;PKLR;PON1;PON3;PRODH;SARDH;SCP2;SDS;SHMT1;SLC25A21;SLC27A2;SORD;TDO2;THNSL2;TPI1;TST;TXN2;UROC1;XYLB","geneontology_Biological_Process_noRedundant"
"31","Cytochrome P450 - arranged by substrate type",0.723912027539632,1.83872993539457,0.0012722646294246,0.0110937347104404,11,"CYP1A2;CYP27A1;CYP2E1;CYP7A1;CYP8B1;FDX1;POR","pathway_Reactome"
"32","Glycolysis / Gluconeogenesis",0.589102638664842,1.82360844352713,0,0.013329911380751,28,"AKR1A1;ALDH2;ALDOA;ALDOB;DLAT;DLD;ENO1;FBP1;GAPDH;PCK1;PDHA1;PDHB;PGK1;PKLR;TPI1","pathway_KEGG"
"33","Biosynthesis of unsaturated fatty acids",0.697062354901248,1.8191003270543,0,0.0141638742510997,12,"ACOT2;ACOT4;ACOX3;HSD17B12;HSD17B4;SCP2;TECR","pathway_KEGG"
"34","Citric acid cycle (TCA cycle)",0.650787247010866,1.81088004560772,0,0.0153359718589868,16,"ACO2;CS;DLD;IDH2;IDH3A;MDH2;OGDH;SDHA;SDHB;SDHC;SUCLA2;SUCLG1","pathway_Reactome"
"35","nucleoside bisphosphate metabolic process",0.503911447724343,1.81179492825226,0,0.0156193799802747,69,"AASS;ACACA;ACACB;ACAT1;ACLY;ACOT12;ACOT2;ACOT4;ACSL1;ACSM1;COASY;DLAT;DLD;ENPP1;FASN;HMGCL;HSD17B12;HSD17B4;KYNU;MPC2;NUDT7;OGDH;PAPSS2;PDHA1;PDHB;PDHX;SUCLA2;SUCLG1;TDO2;TECR","geneontology_Biological_Process_noRedundant"
"36","sulfur compound metabolic process",0.474712544745789,1.8061498741631,0,0.0160974925855147,137,"AASS;ACACA;ACACB;ACAT1;ACLY;ACOT12;ACOT2;ACOT4;ACSL1;ACSM1;AGXT;AKR1A1;COMT;CPS1;CSAD;CTH;DLAT;DLD;ENPP1;FASN;GCLC;GNMT;GSS;GSTA3;GSTK1;GSTM2;GSTM3;GSTM4;GSTT1;HMGCL;HSD17B12;HSD17B4;IDH1;ISCA2;KYNU;MAT1A;MGST1;MPC2;NFS1;NUDT7;OGDH;PAPSS2;PARK7;PCCA;PCCB;PDHA1;PDHB;PDHX;SLC25A10;SUCLA2;SUCLG1;TDO2;TECR;TSTD1;TXN2","geneontology_Biological_Process_noRedundant"
"37","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",0.569015066005398,1.79461969027293,0,0.016428324700227,32,"AASS;AMDHD1;DLD;FTCD;HAAO;HAL;HPD;KYNU;OGDH;PAH;PRODH;SLC25A21;TDO2;UROC1","pathway_Reactome"
"38","coenzyme metabolic process",0.468988765893659,1.79743078519736,0,0.0166861776863721,172,"AASS;ACACA;ACACB;ACAT1;ACLY;ACOT12;ACOT2;ACOT4;ACSL1;ACSM1;ACSM5;ACSS2;AKR1A1;ALDH1L1;ALDOA;ALDOB;BHMT;COASY;COQ9;CYB5A;DERA;DHFR;DLAT;DLD;ENO1;ENTPD5;FASN;FBP1;FMO1;FTCD;GALK1;GAPDH;GART;GCLC;GLYAT;GNMT;GPD1;GPD2;HAAO;HMGCL;HSD17B12;HSD17B4;IDH1;IDH2;KYNU;MAT1A;MDH1;MDH2;ME1;MPC2;NAMPT;NDUFA9;NFS1;NUDT12;NUDT7;OGDH;PCCA;PCCB;PDHA1;PDHB;PDHX;PDXK;PFKFB1;PGK1;PKLR;PRKAG1;RGN;SHMT1;SUCLA2;SUCLG1;TDO2;TECR;TPI1;VCP","geneontology_Biological_Process_noRedundant"
"39","carbohydrate biosynthetic process",0.522723135457435,1.79486688097868,0,0.0167915320199393,53,"AKR1A1;ALDOA;ALDOB;CLTC;ENO1;ENPP1;FBP1;GAPDH;GNMT;GOT1;GOT2;GPD1;GPD2;MDH1;PCK1;PFKFB1;PGK1;RBP4;RGN;SDS;SLC25A10;SLC25A11;SORBS1;SORD;TPI1","geneontology_Biological_Process_noRedundant"
"40","organophosphate catabolic process",0.510973825033189,1.79808802437036,0,0.0170752867857047,59,"ABHD6;ACAT1;ALDOA;ALDOB;APOA2;APOC1;DERA;ENO1;ENPP1;ENTPD5;FBP1;GALK1;GAPDH;GPD1;GPD2;IDH1;ITPA;LDHA;NUDT12;NUDT7;OGDH;PFKFB1;PGK1;PKLR;PON1;PRKAG1;SAMHD1;SCARB1;TPI1;VCP;XDH","geneontology_Biological_Process_noRedundant"
"41","Metabolism of water-soluble vitamins and cofactors",0.538532169419361,1.79955240995609,0,0.0171773155263419,43,"ACACA;ACACB;ACP5;ALDH1L1;AOX1;COASY;CYB5A;CYP8B1;DHFR;ENPP1;FASN;NAMPT;NFS1;NUDT12;PCCA;PCCB;PDXK;SHMT1","pathway_Reactome"
"42","Fatty acid elongation",0.646006168885081,1.77969065940865,0.00119904076594839,0.0195747473697132,15,"ACAA2;ACOT2;ACOT4;ECHS1;ELOVL2;HADH;HADHA;HADHB;HSD17B12;TECR;THEM4","pathway_KEGG"
"43","organic anion transport",0.493307600450735,1.77708164737238,0,0.0198639699862983,85,"ABCB4;ABCC2;ABCC3;ABCD3;ACACA;ACACB;ACSL1;AGXT;APOA2;APOC1;APOE;AQP9;ARG1;ATP11C;BSG;GLS2;GOT2;MPC2;MTTP;PSAP;SCP2;SLC16A1;SLC16A10;SLC25A10;SLC25A11;SLC25A15;SLC25A20;SLC25A21;SLC25A42;SLC27A2;SLC27A5;SLC38A3;SLC4A4;SLCO2B1;STARD5;TMEM30A","geneontology_Biological_Process_noRedundant"
"44","fatty acid derivative metabolic process",0.511286796143139,1.77094132843909,0,0.0199107510750341,51,"ABHD16A;ACACA;ACAT1;ACLY;ACSL1;BDH1;CYP1A2;CYP2E1;EPHX2;FAAH;FABP5;FASN;HMGCL;HPGD;HSD17B12;HSD17B4;MGLL;MGST1;PON1;PON3;SLC27A5;TECR","geneontology_Biological_Process_noRedundant"
"45","Metabolism of vitamins and cofactors",0.500479496342284,1.78016035110895,0,0.0199503350731952,65,"ACACA;ACACB;ACP5;ALDH1L1;AOX1;APOA2;APOB;APOE;COASY;COQ9;CYB5A;CYP8B1;DHFR;ENPP1;FASN;IDH1;NAMPT;NFS1;NUDT12;PCCA;PCCB;PDXK;RBP4;RETSAT;SHMT1;TTPA","pathway_Reactome"
"46","Alanine, aspartate and glutamate metabolism",0.606364068111989,1.77175147816761,0.00228310502022477,0.0201524661276349,21,"AGXT;AGXT2;ALDH4A1;ASL;ASS1;CPS1;GLS2;GLUD1;GLUL;GOT1;GOT2;GPT2","pathway_KEGG"
"47","vitamin metabolic process",0.54329141566693,1.77365021613742,0,0.0204570102496573,37,"ACP5;AKR1A1;ALDH1L1;AOX1;CLYBL;CYB5A;DHFR;ENPP1;GCLC;HAAO;KYNU;PCCA;PCCB;PDXK;RGN;SHMT1;TTPA","geneontology_Biological_Process_noRedundant"
"48","response to organophosphorus",0.57229359832919,1.77227369830061,0.00230946881950408,0.0205079531342473,25,"AGXT;AQP9;ASS1;BSG;CPS1;FDX1;GPD1;HSP90B1;HSPA5;HSPD1;ITPR2;PCK1;PFKFB1;PKLR","geneontology_Biological_Process_noRedundant"
"49","Peroxisomal lipid metabolism",0.615900153837766,1.76458974070011,0.00473372780504884,0.0219666954693199,19,"ACOT4;ACOX3;AMACR;DECR2;EHHADH;HACL1;HSD17B4;NUDT7;SCP2;SLC27A2","pathway_Reactome"
"50","cofactor biosynthetic process",0.468073068354422,1.75601697983742,0,0.0235859730581457,123,"ACACA;ACACB;ACAT1;ACLY;ACSL1;AKR1A1;ALAD;ALDOA;ALDOB;COASY;COQ9;CPOX;CYP1A2;DHFR;DLAT;DLD;ENO1;ENTPD5;FASN;FBP1;GAPDH;GCLC;GPD1;GSS;HAAO;HSD17B12;IDH2;KYNU;MAT1A;ME1;MPC2;NAMPT;NFS1;NUDT12;OGDH;PDHA1;PDHB;PDHX;PDXK;PFKFB1;PGK1;PKLR;PRKAG1;RGN;SUCLA2;TECR;TPI1","geneontology_Biological_Process_noRedundant"
"51","Oxytocin signaling pathway",0.645203010814552,1.75623399514789,0.00236406619105902,0.0240298153542688,15,"ACTB;EEF2;GNAI3;GNAS;ITPR2;MAP2K1;MAP2K2;MYL6;PRKAG1","pathway_KEGG"
"52","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0.659961166818337,1.75647540148059,0.00370370369913123,0.0244534107040022,14,"ACOX2;AMACR;CYP27A1;CYP7A1;CYP8B1;HSD17B4;HSD3B7;SCP2;SLC27A2;SLC27A5","pathway_Reactome"
"53","cellular amino acid metabolic process",0.462381060545472,1.75074056032571,0,0.0250409866102909,158,"AASS;ACAT1;ACY1;AGMAT;AGXT;AGXT2;ALDH4A1;AMDHD1;ARG1;ASL;ASPG;ASS1;BCKDHB;BHMT;CARS2;COMT;CPOX;CPS1;CSAD;CTH;DPYD;FARSA;FARSB;FTCD;GART;GCAT;GCLC;GLDC;GLS2;GLUD1;GLUL;GLYAT;GNMT;GOT1;GOT2;GSS;HAAO;HAL;HIBADH;HMGCL;HOGA1;HPD;IARS;IARS2;IYD;KYNU;MAT1A;NAGS;NFS1;OAT;OTC;PAH;PARK7;PPA1;PRODH;SARDH;SDS;SHMT1;SLC25A21;TARS;TDO2;THNSL2;TST;TXN2;UROC1","geneontology_Biological_Process_noRedundant"
"54","Pyruvate metabolism",0.568109529681029,1.73972389144593,0.00227531285292911,0.0257295988047161,25,"ACACA;ACACB;ACAT1;ACAT2;ACOT12;ACSS2;ALDH2;DLAT;DLD;LDHA;MDH1;MDH2;ME1;PCK1;PDHA1;PDHB;PKLR","pathway_KEGG"
"55","Glyoxylate and dicarboxylate metabolism",0.573373224784523,1.74760524839286,0.00225733634056734,0.0259495099056111,26,"ACAT1;ACAT2;ACO1;ACO2;ACSS2;AGXT;CS;DLD;GLDC;GLUL;HAO1;HOGA1;MDH1;MDH2;PCCA;PCCB;SHMT1","pathway_KEGG"
"56","Pyruvate metabolism",0.638159120575926,1.74630183386774,0.00238948625759918,0.0259613451212229,15,"BSG;DLAT;DLD;LDHA;ME1;MPC1;MPC2;PDHA1;PDHB;PDHX;SLC16A1;VDAC1","pathway_Reactome"
"57","Tryptophan metabolism",0.563784302147094,1.74027395489327,0,0.0260207760115283,27,"ACAT1;ACAT2;ALDH2;AOX1;CYP1A2;EHHADH;HAAO;HADHA;INMT;KYNU;MAOA;OGDH;TDO2","pathway_KEGG"
"58","monosaccharide metabolic process",0.479611975140481,1.74064892596024,0,0.0263219938116788,89,"ACACB;AKR1A1;ALDH1A1;ALDOA;ALDOB;CYB5A;DLAT;ENO1;ENPP1;FABP5;FBP1;GAA;GALE;GALK1;GAPDH;GCLC;GNMT;GOT1;GOT2;GPD1;GPD2;HMGB1;MDH1;MDH2;MPI;PCK1;PDHA1;PDHB;PFKFB1;PGK1;PKLR;RBP4;RGN;SDS;SLC25A10;SLC25A11;SORBS1;SORD;TPI1;UGT1A1;UGT2A3;XYLB","geneontology_Biological_Process_noRedundant"
"59","fatty acid metabolic process",0.45861970569058,1.74201853909775,0,0.0265171120312896,143,"AACS;ABCD3;ABHD16A;ACAA2;ACACA;ACACB;ACAD11;ACADL;ACADM;ACADSB;ACAT1;ACAT2;ACLY;ACOT12;ACOT2;ACOT4;ACOX2;ACOX3;ACSL1;ACSM1;ACSM5;ACSS2;AMACR;APOC1;C3;CYP1A2;CYP2E1;CYP7A1;DECR1;DECR2;DLD;ECH1;ECHDC2;ECHS1;ECI1;EHHADH;ELOVL2;EPHX2;ETFA;ETFB;FAAH;FABP5;FASN;GPAM;GPX1;GSTM2;GSTM4;HACL1;HADH;HADHA;HADHB;HAO1;HPGD;HSD17B12;HSD17B4;LONP2;LYPLA1;MCAT;MGLL;MGST1;NUDT7;PCK1;PON1;PON2;PON3;POR;PRKAG1;RGN;SCP2;SGPL1;SLC27A2;SLC27A5;TECR;THEM4;THNSL2","geneontology_Biological_Process_noRedundant"
"60","nucleotide phosphorylation",0.542903825835057,1.74318423222551,0,0.0265325884816984,33,"AK4;ALDOA;ALDOB;ENO1;ENTPD5;FBP1;GAPDH;GPD1;OGDH;PGK1;PKLR;PRKAG1;SUCLG1;TPI1","geneontology_Biological_Process_noRedundant"
"61","Fatty acid metabolism",0.472827614398901,1.73505133328457,0,0.0267873351490209,84,"ACAA2;ACACA;ACACB;ACAD11;ACADL;ACADM;ACLY;ACOT12;ACOT2;ACOT4;ACOX2;ACOX3;ACSL1;AMACR;CYP1A2;CYP8B1;DECR1;DECR2;ECHS1;ECI1;EHHADH;ELOVL2;EPHX2;FAAH;FASN;GPX1;HACL1;HADH;HADHA;HADHB;HPGD;HSD17B12;HSD17B4;MCAT;NDUFAB1;NUDT7;PCCA;PCCB;PON1;PON2;PON3;SCP2;SLC25A1;SLC25A20;SLC27A2;TECR;THEM4;THRSP","pathway_Reactome"
"62","lipid catabolic process",0.464404556493709,1.729890493002,0,0.0281327305640449,111,"AADAC;ABCD3;ABHD16A;ABHD6;ACAA2;ACACB;ACAD11;ACADL;ACADM;ACAT1;ACAT2;ACOX2;ACOX3;AMACR;APOA2;APOB;APOC1;APOE;ASPG;CPS1;CYP1A2;CYP39A1;CYP7A1;DECR1;DECR2;ECH1;ECHDC2;ECHS1;ECI1;EHHADH;ETFA;ETFB;FAAH;FABP5;GM2A;HACL1;HADH;HADHA;HADHB;HAO1;HSD17B11;HSD17B4;HSD17B6;HSD3B7;IDH1;LIPA;LONP2;MCAT;MGLL;NAGA;NCEH1;NUDT7;PAFAH1B1;PAFAH2;PCK1;PSAP;SCARB1;SCP2;SGPL1;SLC27A2;YWHAH","geneontology_Biological_Process_noRedundant"
